sep_threshold,avg_speed,sigma,avg_evac_time,avg_panic
2.0,1.2,0.01,1268.4458333333334,0.12327184510971265
2.0,1.4,0.01,1105.0833333333333,0.12083741711269358
2.0,1.6,0.01,983.5291666666667,0.11721171826508707
2.0,1.8,0.01,872.7875,0.11789155132745142
2.0,2.0,0.01,833.9166666666666,0.11389883006392944
2.0,2.2,0.01,728.5583333333333,0.11360627434594954
2.0,1.2,0.01,1286.4375,0.11969722039224996
2.0,1.4,0.01,1089.075,0.12106142115709331
2.0,1.6,0.01,967.325,0.12019286449804628
2.0,1.8,0.01,873.6458333333334,0.11648710216719224
2.0,2.0,0.01,803.5833333333334,0.11578483373289222
2.0,2.2,0.01,723.25,0.11374319965111379
2.0,1.2,0.01,1283.3,0.12184433151632632
2.0,1.4,0.01,1111.2333333333333,0.11960902378885763
2.0,1.6,0.01,976.7,0.11882336732811465
2.0,1.8,0.01,883.9458333333333,0.11536229022588804
2.0,2.0,0.01,905.1583333333333,0.11057118433966001
2.0,2.2,0.01,711.8291666666667,0.11555788313205125
2.0,1.2,0.01,1265.7,0.12137352639308292
2.0,1.4,0.01,1101.0041666666666,0.1207165212850618
2.0,1.6,0.01,980.2833333333333,0.11819252259940827
2.0,1.8,0.01,878.125,0.11751707088333069
2.0,2.0,0.01,792.425,0.11657506458162435
2.0,2.2,0.01,710.7041666666667,0.11690707012780703
2.0,1.2,0.01,1293.9291666666666,0.12247957748719157
2.0,1.4,0.01,1119.6,0.12150993183196986
2.0,1.6,0.01,993.1625,0.11577769022915793
2.0,1.8,0.01,856.125,0.12028824873771568
2.0,2.0,0.01,799.3541666666666,0.11399798863075063
2.0,2.2,0.01,718.6041666666666,0.11452867779361223
2.0,1.2,0.01,1317.5083333333334,0.1194053656735497
2.0,1.4,0.01,1111.4041666666667,0.11914513301965152
2.0,1.6,0.01,985.0791666666667,0.11678529738643913
2.0,1.8,0.01,862.1333333333333,0.11836731093601802
2.0,2.0,0.01,810.8541666666666,0.11360511129086877
2.0,2.2,0.01,713.55,0.1141802233067362
2.0,1.2,0.01,1269.5708333333334,0.12310450651473848
2.0,1.4,0.01,1105.95,0.11857698564859584
