sep_threshold,avg_speed,sigma,avg_evac_time,avg_panic
2.0,1.2,0.01,1013.4291666666667,0.10938044244897246
2.0,1.4,0.01,818.9458333333333,0.11138784423731421
2.0,1.6,0.01,749.4291666666667,0.10941549477957148
2.0,1.8,0.01,672.1791666666667,0.10727460306912863
2.0,2.0,0.01,598.4125,0.1056460024677
2.0,2.2,0.01,564.8458333333333,0.10425210400549594
2.0,1.2,0.01,974.1541666666667,0.11160755689848635
2.0,1.4,0.01,837.3833333333333,0.11216607374644161
2.0,1.6,0.01,760.3916666666667,0.10750451025192476
2.0,1.8,0.01,680.05,0.10672523338692921
2.0,2.0,0.01,600.925,0.10447483986613891
2.0,2.2,0.01,561.6083333333333,0.10144137787407168
2.0,1.2,0.01,987.5375,0.1094868073839612
2.0,1.4,0.01,834.2583333333333,0.1120969817286206
2.0,1.6,0.01,752.0875,0.10701887217768545
2.0,1.8,0.01,655.0875,0.10879614088431806
2.0,2.0,0.01,601.1791666666667,0.10763451743656723
2.0,2.2,0.01,553.0708333333333,0.10355438769081085
2.0,1.2,0.01,974.8583333333333,0.11276679653410075
2.0,1.4,0.01,842.3791666666667,0.11116078539319663
2.0,1.6,0.01,872.1666666666666,0.10205936285509866
2.0,1.8,0.01,672.2041666666667,0.10550006450247904
2.0,2.0,0.01,619.9666666666667,0.1034481873009204
2.0,2.2,0.01,550.7791666666667,0.10224215111278956
2.0,1.2,0.01,953.025,0.11275392401083069
2.0,1.4,0.01,850.8166666666667,0.10842039522403814
2.0,1.6,0.01,733.6375,0.11068902649560271
2.0,1.8,0.01,672.5166666666667,0.10724235294057685
2.0,2.0,0.01,611.7666666666667,0.10383027435061737
2.0,2.2,0.01,554.3541666666666,0.10374409862036509
2.0,1.2,0.01,984.9791666666666,0.11049109171668141
2.0,1.4,0.01,852.9208333333333,0.10934047686689793
2.0,1.6,0.01,757.9541666666667,0.10724449667744569
2.0,1.8,0.01,682.4666666666667,0.10555884656599936
2.0,2.0,0.01,596.0125,0.10612491493057603
2.0,2.2,0.01,558.1958333333333,0.10252925475911348
2.0,1.2,0.01,979.1791666666667,0.11189218176698666
2.0,1.4,0.01,851.975,0.1080906274645001
2.0,1.6,0.01,737.4166666666666,0.10965422236881411
2.0,1.8,0.01,677.1916666666667,0.10461314398207514
2.0,2.0,0.01,616.1916666666667,0.10347936186971725
2.0,2.2,0.01,557.7041666666667,0.10469545180180333
2.0,1.2,0.01,984.9041666666667,0.10794694884238343
2.0,1.4,0.01,841.2333333333333,0.10949828476956831
2.0,1.6,0.01,727.1208333333333,0.11034024603426314
2.0,1.8,0.01,672.6375,0.1065699776071414
2.0,2.0,0.01,613.0333333333333,0.10357589689392403
2.0,2.2,0.01,566.4958333333333,0.10270143270020625
2.0,1.2,0.01,973.8583333333333,0.11426762482323619
2.0,1.4,0.01,839.175,0.10965369715261067
2.0,1.6,0.01,753.1333333333333,0.10973567404031354
2.0,1.8,0.01,662.5291666666667,0.10634681055104807
2.0,2.0,0.01,669.0541666666667,0.1023459181181293
2.0,2.2,0.01,551.75,0.1026032963654806
2.0,1.2,0.01,968.8625,0.11046404382545848
2.0,1.4,0.01,833.9833333333333,0.11141095286507416
2.0,1.6,0.01,754.6458333333334,0.10758470196676141
2.0,1.8,0.01,680.6875,0.10349559587509079
2.0,2.0,0.01,620.8708333333333,0.10447327023718099
2.0,2.2,0.01,577.0041666666667,0.1005708014941452
2.0,1.2,0.1,1014.1208333333333,0.10735467230786018
2.0,1.4,0.1,880.7666666666667,0.10746047702641652
2.0,1.6,0.1,745.55,0.10682404616499053
2.0,1.8,0.1,673.7875,0.10424668761749813
2.0,2.0,0.1,603.1166666666667,0.10635339036235542
2.0,2.2,0.1,557.7083333333334,0.10328231911537614
2.0,1.2,0.1,969.3625,0.10878778647981792
2.0,1.4,0.1,860.8791666666667,0.10744308612725577
2.0,1.6,0.1,735.9333333333333,0.10873003008578433
2.0,1.8,0.1,694.1375,0.1059321554431754
2.0,2.0,0.1,654.1166666666667,0.10308343740233686
2.0,2.2,0.1,570.2666666666667,0.10122449959489269
2.0,1.2,0.1,1019.7541666666667,0.10930276593920481
2.0,1.4,0.1,934.8833333333333,0.10694350557528538
2.0,1.6,0.1,748.6125,0.1081187218613746
2.0,1.8,0.1,682.6208333333333,0.10481423745476537
2.0,2.0,0.1,601.9083333333333,0.10355986279276848
2.0,2.2,0.1,564.55,0.10114289537185615
2.0,1.2,0.1,981.975,0.11017992965851446
